,index,channel_subCount,channel_viewCount,title_on_youtube,up_time,log_view,y
0,0,4152281,2423719656,post malone - rockstar ft. 21 savage,390,19.924047586122274,1
1,1,601202,196598047,"above & beyond feat. alex vargas - ""all over the world"" (official music video)",1439,14.473951897977699,1
2,2,1387084,1583887822,man with a mission 『find you』,373,14.108648718858253,1
3,3,15217,8795785,wally ballago seck - bo dioudo,1839,11.670775009839696,1
4,4,209566,101654143,ben howard - nica libres at dusk,208,14.300866362192805,1
5,5,68935,96656931,john mellencamp - key west intermezzo (i saw you first),3360,14.00193203193322,1
6,6,2851,8820746,morcheeba - trigger hippie (official video),3255,14.44599851706295,1
7,7,4141112,2743575443,"lea rue - sleep, for the weak! (lost frequencies remix)",1055,14.843928539424772,1
8,8,3907,7479798,can't get it out of my head - jeff lynne (acoustic),2209,12.804601406964196,1
9,9,4014166,2505428409,g-eazy - the plan (official music video),402,17.074863076143128,1
10,10,1875,2503275,brian mcknight - still in love,3730,14.73309964660838,1
11,11,610272,554719110,kenny chesney - there goes my life (official music video),3310,18.003353341202608,1
12,12,533318,542066526,bomba estéreo - fiesta (official video),1299,15.19010726755497,1
13,13,592729,237893455,charly black - gyal you a party animal,893,18.628261094489304,1
14,14,533318,542066526,bomba estéreo - soy yo (official video),831,17.90716498835756,1
15,15,976,542503,monoloc - about (video edit),2145,10.506682672896412,1
16,16,175268,103429659,feid - la respuesta,780,13.265536885071574,1
17,17,2478605,769172055,niki - spell (official music video),187,13.585354979750688,1
18,18,1365126,604003880,"august alsina - numb (explicit) ft. b.o.b, yo gotti",1841,17.07326503749042,1
19,19,1831964,403981811,juice wrld - hurt me (official audio),208,14.7403454840298,1
20,20,2717,1911039,un león d-mente - pensar en nada (clip oficial),2457,10.821337068874277,1
21,21,467,121913,klp - ember,795,9.93022684972575,1
22,22,2432541,1754178120,of mice & men - warzone (official music video),402,13.878447797734871,1
23,23,2592,388899,sam sure - oh my god (audio),1034,10.403959764222627,1
24,24,664352,361860232,kaleo - vor í vaglaskógi (official video),1997,15.266019090751133,1
25,25,13320,8112794,saltnpepa feat. en vogue - whatta man (1993),650,10.095140436758967,1
26,26,18118021,12543585853,"skye & chris brown ""fairytale"" (prod. by dj khaled) (wshh exclusive - official music video)",129,14.525811271831998,1
27,27,15037,16835505,siggno - yo queria,2883,10.372052647587516,1
28,28,748046,283806078,dvicio - no te vas (video oficial),460,15.64910846495908,1
29,29,14341177,11536374983,[mv] mamamoo(마마무) _ everyday(매일 봐요),262,14.12466665426814,1
30,30,1806539,556926007,"el alfa ""el jefe"" - uzi (video official)",458,16.3501191783221,1
31,31,24462,10449879,zoro - landlady [official video],483,12.29834640188135,1
32,32,601202,196598047,"above & beyond feat. zoë johnston - ""we're all we need"" (official music video)",1522,16.066906982676215,1
33,33,586,80985,ice choir - everything is spoilt by use,2083,10.459783550346875,1
34,34,21394013,10172363212,ozuna - me dijeron (video oficial),115,18.24514744670164,1
35,35,12603,11435298,black sheep - strobelite honey,3471,13.28168409808008,1
36,36,685,194858,the katherines - you (official music video),1206,9.32750099174976,1
37,37,55509,20734569,marsha ambrosius - la la la la la (track by track),1484,9.602990383037504,1
38,38,19565630,15170152930,shakira - loca (video oficial) ft. el cata,2987,19.99510303471002,1
39,39,0,331984877,poppy - time is up (feat. diplo) [official music video],117,14.838695748404046,1
40,40,66693,22741145,iamx - 'quiet the mind' (official video),2184,13.378472736055347,1
41,41,219859,236145626,st. vincent - marrow (official video),3373,14.891682262986844,1
42,42,2376,251954,john tibbs - heartland (official music video),381,8.853236764745898,1
43,43,13686597,9096327428,beyoncé - dance for you (video),2577,18.719446381142795,1
44,44,688781,627237271,selena - tus desprecios (live from astrodome),542,14.084255193734512,1
45,45,4198564,1750827335,slipknot - all out life [official music video],47,16.677800120675684,1
46,46,176693,249336251,men at work - who can it be now? (video version),2141,17.935009349792452,1
47,47,23925540,13852068468,tujamo - booty bounce (official music video),1354,16.71660275714314,1
48,48,20916,7273827,goldroom - tradewinds (feat. kayslee collins),1299,12.297415876477919,1
49,49,278115,70887738,the veronicas - cruel,1388,15.853588291702803,1
50,50,1127944,710434330,keyshia cole - shoulda let you go ft. amina,3470,17.19135895166887,1
51,51,318,182633,relentless,117,9.054621796976763,1
52,52,7558,1770569,nick fradiani - get you home,942,12.164072874369891,1
53,53,195846,155049033,"xenia rubinos - ""see them"" (360° video)",808,9.746073219448274,1
54,54,241733,87051364,freddie mercury - the great pretender (official video),2215,16.567308708801768,1
55,55,888192,518053646,los jefes ► yo te prometo (official video) ► salsa hit,2117,15.298998551350547,1
56,56,6048266,3082170302,prince royce - el clavo (remix - official video) ft. maluma,111,18.956186223154184,1
57,57,468409,317923084,valentín elizalde - te quiero así,3304,17.655137048936037,1
58,58,11349,12909374,toad the wet sprocket - all i want,2145,15.254998232292213,1
59,59,94630,28466753,paul mccartney - back in brazil,91,13.47484393719954,1
60,60,2016957,1374179610,"young thug, travis scott - pick up the phone (explicit) ft. quavo",856,17.137899661397928,1
61,61,3125,932021,"great grandpa - ""no"" (official music video)",514,8.785386587284156,1
62,62,987865,507232664,bullet for my valentine - venom,1158,15.83557981051914,1
63,63,13719,13056820,trustcompany - downfall,3471,15.997902225144228,1
64,64,741579,437805610,paty cantú - rompo contigo,801,15.865243641204636,1
